location_id,county,city,state,zip_code
1,King,Seattle,WA,98126
2,Thurston,Olympia,WA,98502
3,Thurston,Lacey,WA,98516
4,Thurston,Tenino,WA,98589
5,Yakima,Yakima,WA,98902
6,Thurston,Olympia,WA,98501
7,Kitsap,Keyport,WA,98345
8,Snohomish,Mountlake Terrace,WA,98043
9,King,Seattle,WA,98119
10,Snohomish,Bothell,WA,98021
11,King,Seattle,WA,98121
12,Kitsap,Port Orchard,WA,98366
13,Kitsap,Port Orchard,WA,98367
14,Kitsap,Bremerton,WA,98310
15,Yakima,Moxee,WA,98936
16,Snohomish,Woodinville,WA,98077
17,Thurston,Olympia,WA,98512
18,Thurston,Olympia,WA,98506
19,Yakima,Yakima,WA,98908
20,Kitsap,Poulsbo,WA,98370
21,Island,Oak Harbor,WA,98277
22,Snohomish,Bothell,WA,98012
23,King,Seattle,WA,98105
24,King,Seattle,WA,98122
25,Snohomish,Lynnwood,WA,98036
26,Yakima,Selah,WA,98942
27,Snohomish,Everett,WA,98203
28,Kitsap,Bremerton,WA,98312
29,Thurston,Olympia,WA,98516
30,Kitsap,Bainbridge Island,WA,98110
31,King,Seattle,WA,98117
32,King,Seattle,WA,98103
33,Snohomish,Arlington,WA,98223
34,Snohomish,Edmonds,WA,98026
35,Skagit,Mount Vernon,WA,98273
36,Snohomish,Everett,WA,98204
37,Chelan,Leavenworth,WA,98826
38,King,Renton,WA,98059
39,Kitsap,Silverdale,WA,98383
40,King,Seattle,WA,98199
41,Kittitas,Easton,WA,98925
42,Whitman,Pullman,WA,99163
43,King,Redmond,WA,98052
44,Snohomish,Everett,WA,98208
45,Snohomish,Mill Creek,WA,98012
46,King,Seattle,WA,98101
47,Snohomish,Stanwood,WA,98292
48,Snohomish,Lynnwood,WA,98037
49,Skagit,Anacortes,WA,98221
50,Yakima,Yakima,WA,98903
51,King,Seattle,WA,98106
52,Snohomish,Monroe,WA,98272
53,Okanogan,Winthrop,WA,98862
54,Thurston,Olympia,WA,98503
55,King,Enumclaw,WA,98022
56,Yakima,Yakima,WA,98901
57,Island,Greenbank,WA,98253
58,Thurston,Olympia,WA,98513
59,Walla Walla,Walla Walla,WA,99362
60,Island,Langley,WA,98260
61,King,Seattle,WA,98133
62,King,Bellevue,WA,98004
63,King,Seattle,WA,98125
64,Clark,Battle Ground,WA,98604
65,King,Kirkland,WA,98034
66,Clark,Vancouver,WA,98662
67,King,Bellevue,WA,98008
68,King,Bothell,WA,98011
69,King,Shoreline,WA,98133
70,King,Bellevue,WA,98006
71,King,Renton,WA,98056
72,King,Issaquah,WA,98029
73,King,Federal Way,WA,98003
74,King,Renton,WA,98055
75,Cowlitz,Kelso,WA,98626
76,King,Burien,WA,98168
77,King,Sammamish,WA,98075
78,King,Bellevue,WA,98007
79,Kitsap,Bremerton,WA,98311
80,King,Seattle,WA,98109
81,King,Shoreline,WA,98177
82,King,Kent,WA,98030
83,King,Kirkland,WA,98033
84,King,Seattle,WA,98104
85,King,Auburn,WA,98092
86,Clark,Camas,WA,98607
87,King,Kent,WA,98031
88,King,Bellevue,WA,98005
89,King,Sammamish,WA,98074
90,King,Tukwila,WA,98188
91,King,Seattle,WA,98177
92,King,Newcastle,WA,98059
93,Clark,Vancouver,WA,98683
94,Snohomish,Snohomish,WA,98290
95,King,Issaquah,WA,98027
96,Snohomish,Lynnwood,WA,98087
97,King,Seattle,WA,98144
98,King,Seattle,WA,98112
99,Clark,Vancouver,WA,98685
100,Snohomish,Snohomish,WA,98296
101,King,Seatac,WA,98198
102,King,Woodinville,WA,98072
103,King,Seatac,WA,98188
104,Clark,Vancouver,WA,98686
105,King,Covington,WA,98042
106,King,Burien,WA,98166
107,King,Newcastle,WA,98056
108,Jefferson,Port Townsend,WA,98368
109,Thurston,Tumwater,WA,98512
110,King,Renton,WA,98058
111,King,Shoreline,WA,98155
112,Clark,Vancouver,WA,98682
113,King,Seattle,WA,98146
114,Stevens,Nine Mile Falls,WA,99026
115,King,Federal Way,WA,98023
116,King,Des Moines,WA,98198
117,King,Kenmore,WA,98028
118,Snohomish,Everett,WA,98201
119,Clark,Washougal,WA,98671
120,Clark,La Center,WA,98629
121,King,Auburn,WA,98002
122,Clark,Vancouver,WA,98664
123,Clark,Ridgefield,WA,98642
124,King,Burien,WA,98146
125,Thurston,Yelm,WA,98597
126,King,Seattle,WA,98178
127,King,Seattle,WA,98116
128,Kitsap,Kingston,WA,98346
129,King,Lake Forest Park,WA,98155
130,Snohomish,Marysville,WA,98271
131,Kitsap,Seabeck,WA,98380
132,King,Des Moines,WA,98148
133,King,Tukwila,WA,98178
134,Island,Coupeville,WA,98239
135,Cowlitz,Woodland,WA,98674
136,Snohomish,Mukilteo,WA,98275
137,Clark,Vancouver,WA,98684
138,Clark,Brush Prairie,WA,98606
139,Snohomish,Edmonds,WA,98020
140,King,Kent,WA,98042
141,Clark,Vancouver,WA,98660
142,King,Burien,WA,98148
143,Cowlitz,Longview,WA,98632
144,King,Tukwila,WA,98168
145,King,Renton,WA,98057
146,King,North Bend,WA,98045
147,Clark,Vancouver,WA,98665
148,King,Duvall,WA,98019
149,King,Medina,WA,98039
150,King,Seattle,WA,98134
151,King,Seattle,WA,98108
152,King,Seattle,WA,98102
153,King,Seattle,WA,98115
154,Stevens,Colville,WA,99114
155,Cowlitz,Castle Rock,WA,98611
156,Kitsap,Bremerton,WA,98337
157,King,Auburn,WA,98001
158,King,Seattle,WA,98107
159,King,Kent,WA,98032
160,King,Beaux Arts,WA,98004
161,Kitsap,Olalla,WA,98359
162,Island,Camano Island,WA,98282
163,Clallam,Sequim,WA,98382
164,Cowlitz,Kalama,WA,98625
165,Snohomish,Lake Stevens,WA,98258
166,Thurston,Rainier,WA,98576
167,Jefferson,Port Ludlow,WA,98365
168,Cowlitz,Silverlake,WA,98645
169,King,Normandy Park,WA,98166
170,Thurston,Rochester,WA,98579
171,Thurston,Lacey,WA,98503
172,Jefferson,Port Hadlock,WA,98339
173,Yakima,Grandview,WA,98930
174,King,Clyde Hill,WA,98004
175,King,Mercer Island,WA,98040
176,King,Pacific,WA,98047
177,King,Algona,WA,98001
178,Kitsap,Indianola,WA,98342
179,King,Normandy Park,WA,98148
180,Jefferson,Nordland,WA,98358
181,Jefferson,Quilcene,WA,98376
182,King,Maple Valley,WA,98038
183,Clark,Vancouver,WA,98663
184,Jefferson,Brinnon,WA,98320
185,Clark,Vancouver,WA,98661
186,King,Seatac,WA,98168
187,Yakima,Sunnyside,WA,98944
188,Clark,Woodland,WA,98674
189,Clallam,Port Angeles,WA,98362
190,Thurston,Tumwater,WA,98501
191,Jefferson,Sequim,WA,98382
192,Snohomish,Sultan,WA,98294
193,Yakima,Mabton,WA,98935
194,Clallam,Port Angeles,WA,98363
195,Clark,Amboy,WA,98601
196,Klickitat,White Salmon,WA,98672
197,Island,Freeland,WA,98249
198,Cowlitz,Ariel,WA,98603
199,Thurston,Bucoda,WA,98530
200,Yakima,Naches,WA,98937
201,Yakima,Zillah,WA,98953
202,King,Skykomish,WA,98288
203,Jefferson,Chimacum,WA,98325
204,Yakima,Granger,WA,98932
205,Snohomish,Woodway,WA,98020
206,Yakima,Cowiche,WA,98923
207,Yakima,Toppenish,WA,98948
208,Snohomish,Granite Falls,WA,98252
209,King,Seatac,WA,98148
210,Snohomish,Tulalip,WA,98271
211,Thurston,Centralia,WA,98531
212,Yakima,Wapato,WA,98951
213,Clark,Yacolt,WA,98675
214,Snohomish,Darrington,WA,98241
215,Snohomish,Bothell,WA,98011
216,King,Sammamish,WA,98029
217,Kitsap,Indianola,WA,98370
218,King,Yarrow Point,WA,98004
219,King,Seattle,WA,98118
220,Kitsap,Suquamish,WA,98392
221,King,Snoqualmie,WA,98065
222,Snohomish,Brier,WA,98036
223,King,Hunts Point,WA,98004
224,King,Federal Way,WA,98001
225,Skagit,La Conner,WA,98257
226,King,Black Diamond,WA,98010
227,King,Milton,WA,98354
228,Klickitat,Goldendale,WA,98620
229,King,Carnation,WA,98014
230,King,Seattle,WA,98155
231,Cowlitz,Toutle,WA,98649
232,King,Normandy Park,WA,98198
233,Snohomish,Marysville,WA,98270
234,King,Sammamish,WA,98053
235,Yakima,Union Gap,WA,98903
236,Jefferson,Forks,WA,98331
237,Stevens,Springdale,WA,99173
238,Snohomish,Woodinville,WA,98072
239,Clallam,Forks,WA,98331
240,Yakima,Outlook,WA,98938
241,Kitsap,Hansville,WA,98340
242,Yakima,Tieton,WA,98947
243,King,Seattle,WA,98166
244,Kitsap,Poulsbo,WA,98392
245,Snohomish,Gold Bar,WA,98251
246,King,Tukwila,WA,98032
247,King,Seattle,WA,98136
248,Kitsap,Kingston,WA,98370
249,Thurston,Lacey,WA,98513
250,Klickitat,Bingen,WA,98605
251,Stevens,Chewelah,WA,99109
252,Kitsap,Gig Harbor,WA,98329
253,Kitsap,Bremerton,WA,98370
254,Snohomish,Bothell,WA,98036
255,King,Des Moines,WA,98032
256,Island,Clinton,WA,98236
257,Pierce,South Hill,WA,98373
258,Pierce,Puyallup,WA,98371
259,Franklin,Pasco,WA,99301
260,King,Redmond,WA,98053
261,Pierce,Bonney Lake,WA,98391
262,Douglas,East Wenatchee,WA,98802
263,Whatcom,Bellingham,WA,98229
264,Pierce,Lakewood,WA,98498
265,Spokane,Spokane,WA,99218
266,King,Redmond,WA,98033
267,Mason,Grapeview,WA,98546
268,Spokane,Spokane,WA,99203
269,Pierce,Anderson Island,WA,98303
